district,date,month,year,visitors,type
Jagtial ,01-11-2016,November,2016,0,foreign
Jagtial ,01-12-2016,December,2016,0,foreign
Jangaon ,01-01-2016,January,2016, ,foreign
Jangaon ,01-02-2016,February,2016, ,foreign
Jangaon ,01-03-2016,March,2016, ,foreign
Jangaon ,01-04-2016,April,2016, ,foreign
Jangaon ,01-05-2016,May,2016, ,foreign
Jangaon ,01-06-2016,June,2016, ,foreign
Jangaon ,01-07-2016,July,2016, ,foreign
Jangaon ,01-08-2016,August,2016, ,foreign
Jangaon ,01-09-2016,September,2016, ,foreign
Jangaon ,01-10-2016,October,2016,0,foreign
Jangaon ,01-11-2016,November,2016,2,foreign
Jangaon ,01-12-2016,December,2016,0,foreign
Jayashankar Bhoopalpally,01-01-2016,January,2016, ,foreign
Jayashankar Bhoopalpally,01-02-2016,February,2016, ,foreign
Jayashankar Bhoopalpally,01-03-2016,March,2016, ,foreign
Jayashankar Bhoopalpally,01-04-2016,April,2016, ,foreign
Jayashankar Bhoopalpally,01-05-2016,May,2016, ,foreign
Jayashankar Bhoopalpally,01-06-2016,June,2016, ,foreign
Jayashankar Bhoopalpally,01-07-2016,July,2016, ,foreign
Jayashankar Bhoopalpally,01-08-2016,August,2016, ,foreign
Jayashankar Bhoopalpally,01-09-2016,September,2016, ,foreign
Jayashankar Bhoopalpally,01-10-2016,October,2016,24,foreign
Jayashankar Bhoopalpally,01-11-2016,November,2016,22,foreign
Jayashankar Bhoopalpally,01-12-2016,December,2016,40,foreign
Jogulamba Gadwal ,01-01-2016,January,2016, ,foreign
Jogulamba Gadwal ,01-02-2016,February,2016, ,foreign
Jogulamba Gadwal ,01-03-2016,March,2016, ,foreign
Jogulamba Gadwal ,01-04-2016,April,2016, ,foreign
Jogulamba Gadwal ,01-05-2016,May,2016, ,foreign
Jogulamba Gadwal ,01-06-2016,June,2016, ,foreign
Jogulamba Gadwal ,01-07-2016,July,2016, ,foreign
Jogulamba Gadwal ,01-08-2016,August,2016, ,foreign
Jogulamba Gadwal ,01-09-2016,September,2016, ,foreign
Jogulamba Gadwal ,01-10-2016,October,2016,13,foreign
Jogulamba Gadwal ,01-11-2016,November,2016,21,foreign
Jogulamba Gadwal ,01-12-2016,December,2016,11,foreign
Kamareddy ,01-01-2016,January,2016, ,foreign
Kamareddy ,01-02-2016,February,2016, ,foreign
Kamareddy ,01-03-2016,March,2016, ,foreign
Kamareddy ,01-04-2016,April,2016, ,foreign
Kamareddy ,01-05-2016,May,2016, ,foreign
Kamareddy ,01-06-2016,June,2016, ,foreign
Kamareddy ,01-07-2016,July,2016, ,foreign
Kamareddy ,01-08-2016,August,2016, ,foreign
Kamareddy ,01-09-2016,September,2016, ,foreign
Kamareddy ,01-10-2016,October,2016,0,foreign
Kamareddy ,01-11-2016,November,2016,0,foreign
Kamareddy ,01-12-2016,December,2016,0,foreign
Karimnagar ,01-01-2016,January,2016,0,foreign
Karimnagar ,01-02-2016,February,2016,0,foreign
Karimnagar ,01-03-2016,March,2016,0,foreign
Karimnagar ,01-04-2016,April,2016,0,foreign
Karimnagar ,01-05-2016,May,2016,0,foreign
Karimnagar ,01-06-2016,June,2016,0,foreign
Karimnagar ,01-07-2016,July,2016,0,foreign
Karimnagar ,01-08-2016,August,2016,0,foreign
Karimnagar ,01-09-2016,September,2016,0,foreign
Karimnagar ,01-10-2016,October,2016,0,foreign
Karimnagar ,01-11-2016,November,2016,0,foreign
Karimnagar ,01-12-2016,December,2016,0,foreign
Khammam,01-01-2016,January,2016,0,foreign
Khammam,01-02-2016,February,2016,0,foreign
Khammam,01-03-2016,March,2016,0,foreign
Khammam,01-04-2016,April,2016,0,foreign
Khammam,01-05-2016,May,2016,0,foreign
Khammam,01-06-2016,June,2016,0,foreign
Khammam,01-07-2016,July,2016,0,foreign
Khammam,01-08-2016,August,2016,0,foreign
Khammam,01-09-2016,September,2016,0,foreign
Khammam,01-10-2016,October,2016,0,foreign
Khammam,01-11-2016,November,2016,0,foreign
Khammam,01-12-2016,December,2016,0,foreign
Komaram Bheem Asifabad,01-01-2016,January,2016, ,foreign
Komaram Bheem Asifabad,01-02-2016,February,2016, ,foreign
Komaram Bheem Asifabad,01-03-2016,March,2016, ,foreign
Komaram Bheem Asifabad,01-04-2016,April,2016, ,foreign
Komaram Bheem Asifabad,01-05-2016,May,2016, ,foreign
Komaram Bheem Asifabad,01-06-2016,June,2016, ,foreign
Komaram Bheem Asifabad,01-07-2016,July,2016, ,foreign
Komaram Bheem Asifabad,01-08-2016,August,2016, ,foreign
Komaram Bheem Asifabad,01-09-2016,September,2016, ,foreign
Komaram Bheem Asifabad,01-10-2016,October,2016,0,foreign
Komaram Bheem Asifabad,01-11-2016,November,2016,0,foreign
Komaram Bheem Asifabad,01-12-2016,December,2016,0,foreign
Mahabubabad ,01-01-2016,January,2016, ,foreign
Mahabubabad ,01-02-2016,February,2016, ,foreign
Mahabubabad ,01-03-2016,March,2016, ,foreign
Mahabubabad ,01-04-2016,April,2016, ,foreign
Mahabubabad ,01-05-2016,May,2016, ,foreign
Mahabubabad ,01-06-2016,June,2016, ,foreign
Mahabubabad ,01-07-2016,July,2016, ,foreign
Mahabubabad ,01-08-2016,August,2016, ,foreign
Mahabubabad ,01-09-2016,September,2016, ,foreign
Mahabubabad ,01-10-2016,October,2016,0,foreign
Mahabubabad ,01-11-2016,November,2016,0,foreign
Mahabubabad ,01-12-2016,December,2016,0,foreign
Mahbubnagar,01-01-2016,January,2016,123,foreign
Mahbubnagar,01-02-2016,February,2016,126,foreign
Mahbubnagar,01-03-2016,March,2016,103,foreign
Mahbubnagar,01-04-2016,April,2016,75,foreign
Mahbubnagar,01-05-2016,May,2016,58,foreign
Mahbubnagar,01-06-2016,June,2016,68,foreign
Mahbubnagar,01-07-2016,July,2016,63,foreign
Mahbubnagar,01-08-2016,August,2016,86,foreign
Mahbubnagar,01-09-2016,September,2016,74,foreign
Mahbubnagar,01-10-2016,October,2016,37,foreign
Mahbubnagar,01-11-2016,November,2016,29,foreign
Mahbubnagar,01-12-2016,December,2016,26,foreign
Mancherial,01-01-2016,January,2016, ,foreign
Mancherial,01-02-2016,February,2016, ,foreign
Mancherial,01-03-2016,March,2016, ,foreign
Mancherial,01-04-2016,April,2016, ,foreign
Mancherial,01-05-2016,May,2016, ,foreign
Mancherial,01-06-2016,June,2016, ,foreign
Mancherial,01-07-2016,July,2016, ,foreign
Mancherial,01-08-2016,August,2016, ,foreign
Mancherial,01-09-2016,September,2016, ,foreign
Mancherial,01-10-2016,October,2016,0,foreign
Mancherial,01-11-2016,November,2016,0,foreign
Mancherial,01-12-2016,December,2016,0,foreign
Medak ,01-01-2016,January,2016,0,foreign
Medak ,01-02-2016,February,2016,0,foreign
Medak ,01-03-2016,March,2016,0,foreign
Medak ,01-04-2016,April,2016,0,foreign
Medak ,01-05-2016,May,2016,0,foreign
Medak ,01-06-2016,June,2016,0,foreign
Medak ,01-07-2016,July,2016,0,foreign
Medak ,01-08-2016,August,2016,0,foreign
Medak ,01-09-2016,September,2016,0,foreign
Medak ,01-10-2016,October,2016,0,foreign
Medak ,01-11-2016,November,2016,0,foreign
Medak ,01-12-2016,December,2016,0,foreign
Medchal ,01-01-2016,January,2016, ,foreign
Medchal ,01-02-2016,February,2016, ,foreign
Medchal ,01-03-2016,March,2016, ,foreign
Medchal ,01-04-2016,April,2016, ,foreign
Medchal ,01-05-2016,May,2016, ,foreign
Medchal ,01-06-2016,June,2016, ,foreign
Medchal ,01-07-2016,July,2016, ,foreign
Medchal ,01-08-2016,August,2016, ,foreign
Medchal ,01-09-2016,September,2016, ,foreign
Medchal ,01-10-2016,October,2016, ,foreign
Medchal ,01-11-2016,November,2016, ,foreign
Medchal ,01-12-2016,December,2016, ,foreign
Nagarkurnool ,01-01-2016,January,2016, ,foreign
Nagarkurnool ,01-02-2016,February,2016, ,foreign
Nagarkurnool ,01-03-2016,March,2016, ,foreign
Nagarkurnool ,01-04-2016,April,2016, ,foreign
Nagarkurnool ,01-05-2016,May,2016, ,foreign
Nagarkurnool ,01-06-2016,June,2016, ,foreign
Nagarkurnool ,01-07-2016,July,2016, ,foreign
Nagarkurnool ,01-08-2016,August,2016, ,foreign
Nagarkurnool ,01-09-2016,September,2016, ,foreign
Nagarkurnool ,01-10-2016,October,2016,8,foreign
Nagarkurnool ,01-11-2016,November,2016,11,foreign
Nagarkurnool ,01-12-2016,December,2016,10,foreign
Nalgonda,01-01-2016,January,2016,0,foreign
Nalgonda,01-02-2016,February,2016,0,foreign
Nalgonda,01-03-2016,March,2016,0,foreign
Nalgonda,01-04-2016,April,2016,0,foreign
Nalgonda,01-05-2016,May,2016,0,foreign
Nalgonda,01-06-2016,June,2016,0,foreign
Nalgonda,01-07-2016,July,2016,0,foreign
Nalgonda,01-08-2016,August,2016,0,foreign
Nalgonda,01-09-2016,September,2016,0,foreign
Nalgonda,01-10-2016,October,2016,0,foreign
Nalgonda,01-11-2016,November,2016,0,foreign
Nalgonda,01-12-2016,December,2016,0,foreign
Nirmal,01-01-2016,January,2016, ,foreign
Nirmal,01-02-2016,February,2016, ,foreign
Nirmal,01-03-2016,March,2016, ,foreign
Nirmal,01-04-2016,April,2016, ,foreign
Nirmal,01-05-2016,May,2016, ,foreign
Nirmal,01-06-2016,June,2016, ,foreign
Nirmal,01-07-2016,July,2016, ,foreign
Nirmal,01-08-2016,August,2016, ,foreign
Nirmal,01-09-2016,September,2016, ,foreign
Nirmal,01-10-2016,October,2016,0,foreign
Nirmal,01-11-2016,November,2016,0,foreign
Nirmal,01-12-2016,December,2016,0,foreign
Nizamabad,01-01-2016,January,2016,0,foreign
Nizamabad,01-02-2016,February,2016,0,foreign
Nizamabad,01-03-2016,March,2016,0,foreign
Nizamabad,01-04-2016,April,2016,0,foreign
Nizamabad,01-05-2016,May,2016,0,foreign
Nizamabad,01-06-2016,June,2016,0,foreign
Nizamabad,01-07-2016,July,2016,0,foreign
Nizamabad,01-08-2016,August,2016,0,foreign
Nizamabad,01-09-2016,September,2016,0,foreign
Nizamabad,01-10-2016,October,2016,0,foreign
Nizamabad,01-11-2016,November,2016,0,foreign
Nizamabad,01-12-2016,December,2016,0,foreign
Peddapalli,01-01-2016,January,2016, ,foreign
Peddapalli,01-02-2016,February,2016, ,foreign
Peddapalli,01-03-2016,March,2016, ,foreign
Peddapalli,01-04-2016,April,2016, ,foreign
Peddapalli,01-05-2016,May,2016, ,foreign
Peddapalli,01-06-2016,June,2016, ,foreign
Peddapalli,01-07-2016,July,2016, ,foreign
Peddapalli,01-08-2016,August,2016, ,foreign
Peddapalli,01-09-2016,September,2016, ,foreign
Peddapalli,01-10-2016,October,2016,0,foreign
Peddapalli,01-11-2016,November,2016,0,foreign
Peddapalli,01-12-2016,December,2016,0,foreign
Rajanna Sircilla ,01-01-2016,January,2016, ,foreign
Rajanna Sircilla ,01-02-2016,February,2016, ,foreign
Rajanna Sircilla ,01-03-2016,March,2016, ,foreign
Rajanna Sircilla ,01-04-2016,April,2016, ,foreign
Rajanna Sircilla ,01-05-2016,May,2016, ,foreign
Rajanna Sircilla ,01-06-2016,June,2016, ,foreign
Rajanna Sircilla ,01-07-2016,July,2016, ,foreign
Rajanna Sircilla ,01-08-2016,August,2016, ,foreign
Rajanna Sircilla ,01-09-2016,September,2016, ,foreign
Rajanna Sircilla ,01-10-2016,October,2016,0,foreign
Rajanna Sircilla ,01-11-2016,November,2016,0,foreign
Rajanna Sircilla ,01-12-2016,December,2016,0,foreign
Ranga Reddy,01-01-2016,January,2016, ,foreign
Ranga Reddy,01-02-2016,February,2016, ,foreign
Ranga Reddy,01-03-2016,March,2016, ,foreign
Ranga Reddy,01-04-2016,April,2016, ,foreign
Ranga Reddy,01-05-2016,May,2016, ,foreign
Ranga Reddy,01-06-2016,June,2016, ,foreign
Ranga Reddy,01-07-2016,July,2016, ,foreign
Ranga Reddy,01-08-2016,August,2016, ,foreign
Ranga Reddy,01-09-2016,September,2016, ,foreign
Ranga Reddy,01-10-2016,October,2016, ,foreign
Ranga Reddy,01-11-2016,November,2016, ,foreign
Ranga Reddy,01-12-2016,December,2016, ,foreign
Sangareddy ,01-01-2016,January,2016, ,foreign
Sangareddy ,01-02-2016,February,2016, ,foreign
Sangareddy ,01-03-2016,March,2016, ,foreign
Sangareddy ,01-04-2016,April,2016, ,foreign
Sangareddy ,01-05-2016,May,2016, ,foreign
Sangareddy ,01-06-2016,June,2016, ,foreign
Sangareddy ,01-07-2016,July,2016, ,foreign
Sangareddy ,01-08-2016,August,2016, ,foreign
Sangareddy ,01-09-2016,September,2016, ,foreign
Sangareddy ,01-10-2016,October,2016,0,foreign
Sangareddy ,01-11-2016,November,2016,0,foreign
Sangareddy ,01-12-2016,December,2016,0,foreign
Siddipet,01-01-2016,January,2016, ,foreign
Siddipet,01-02-2016,February,2016, ,foreign
Siddipet,01-03-2016,March,2016, ,foreign
Siddipet,01-04-2016,April,2016, ,foreign
Siddipet,01-05-2016,May,2016, ,foreign
Siddipet,01-06-2016,June,2016, ,foreign
Siddipet,01-07-2016,July,2016, ,foreign
Siddipet,01-08-2016,August,2016, ,foreign
Siddipet,01-09-2016,September,2016, ,foreign
Siddipet,01-10-2016,October,2016,0,foreign
Siddipet,01-11-2016,November,2016,0,foreign
Siddipet,01-12-2016,December,2016,0,foreign
Suryapet,01-01-2016,January,2016, ,foreign
Suryapet,01-02-2016,February,2016, ,foreign
Suryapet,01-03-2016,March,2016, ,foreign
Suryapet,01-04-2016,April,2016, ,foreign
Suryapet,01-05-2016,May,2016, ,foreign
Suryapet,01-06-2016,June,2016, ,foreign
Suryapet,01-07-2016,July,2016, ,foreign
Suryapet,01-08-2016,August,2016, ,foreign
Suryapet,01-09-2016,September,2016, ,foreign
Suryapet,01-10-2016,October,2016,0,foreign
Suryapet,01-11-2016,November,2016,0,foreign
Suryapet,01-12-2016,December,2016,0,foreign
Vikarabad,01-01-2016,January,2016, ,foreign
Vikarabad,01-02-2016,February,2016, ,foreign
Vikarabad,01-03-2016,March,2016, ,foreign
Vikarabad,01-04-2016,April,2016, ,foreign
Vikarabad,01-05-2016,May,2016, ,foreign
Vikarabad,01-06-2016,June,2016, ,foreign
Vikarabad,01-07-2016,July,2016, ,foreign
Vikarabad,01-08-2016,August,2016, ,foreign
Vikarabad,01-09-2016,September,2016, ,foreign
Vikarabad,01-10-2016,October,2016, ,foreign
Vikarabad,01-11-2016,November,2016, ,foreign
Vikarabad,01-12-2016,December,2016, ,foreign
Wanaparthy ,01-01-2016,January,2016, ,foreign
Wanaparthy ,01-02-2016,February,2016, ,foreign
Wanaparthy ,01-03-2016,March,2016, ,foreign
Wanaparthy ,01-04-2016,April,2016, ,foreign
Wanaparthy ,01-05-2016,May,2016, ,foreign
Wanaparthy ,01-06-2016,June,2016, ,foreign
Wanaparthy ,01-07-2016,July,2016, ,foreign
Wanaparthy ,01-08-2016,August,2016, ,foreign
Wanaparthy ,01-09-2016,September,2016, ,foreign
Wanaparthy ,01-10-2016,October,2016,0,foreign
Wanaparthy ,01-11-2016,November,2016,0,foreign
Wanaparthy ,01-12-2016,December,2016,0,foreign
Warangal (Rural),01-01-2016,January,2016, ,foreign
Warangal (Rural),01-02-2016,February,2016, ,foreign
Warangal (Rural),01-03-2016,March,2016, ,foreign
Warangal (Rural),01-04-2016,April,2016, ,foreign
Warangal (Rural),01-05-2016,May,2016, ,foreign
Warangal (Rural),01-06-2016,June,2016, ,foreign
Warangal (Rural),01-07-2016,July,2016, ,foreign
Warangal (Rural),01-08-2016,August,2016, ,foreign
Warangal (Rural),01-09-2016,September,2016, ,foreign
Warangal (Rural),01-10-2016,October,2016,0,foreign
Warangal (Rural),01-11-2016,November,2016,0,foreign
Warangal (Rural),01-12-2016,December,2016,0,foreign
Warangal (Urban),01-01-2016,January,2016,459,foreign
Warangal (Urban),01-02-2016,February,2016,391,foreign
Warangal (Urban),01-03-2016,March,2016,230,foreign
Warangal (Urban),01-04-2016,April,2016,39,foreign
Warangal (Urban),01-05-2016,May,2016,82,foreign
Warangal (Urban),01-06-2016,June,2016,88,foreign
Warangal (Urban),01-07-2016,July,2016,53,foreign
Warangal (Urban),01-08-2016,August,2016,102,foreign
Warangal (Urban),01-09-2016,September,2016,118,foreign
Warangal (Urban),01-10-2016,October,2016,108,foreign
Warangal (Urban),01-11-2016,November,2016,97,foreign
Warangal (Urban),01-12-2016,December,2016,132,foreign
Yadadri Bhongir,01-01-2016,January,2016, ,foreign
Yadadri Bhongir,01-02-2016,February,2016, ,foreign
Yadadri Bhongir,01-03-2016,March,2016, ,foreign
Yadadri Bhongir,01-04-2016,April,2016, ,foreign
Yadadri Bhongir,01-05-2016,May,2016, ,foreign
Yadadri Bhongir,01-06-2016,June,2016, ,foreign
Yadadri Bhongir,01-07-2016,July,2016, ,foreign
Yadadri Bhongir,01-08-2016,August,2016, ,foreign
Yadadri Bhongir,01-09-2016,September,2016, ,foreign
Yadadri Bhongir,01-10-2016,October,2016,0,foreign
Yadadri Bhongir,01-11-2016,November,2016,0,foreign
Yadadri Bhongir,01-12-2016,December,2016,0,foreign
Adilabad,01-01-2017,January,2017,5,foreign
Adilabad,01-02-2017,February,2017,0,foreign
Adilabad,01-03-2017,March,2017,0,foreign
Adilabad,01-04-2017,April,2017,0,foreign
Adilabad,01-05-2017,May,2017,0,foreign
Adilabad,01-06-2017,June,2017,3,foreign
Adilabad,01-07-2017,July,2017,0,foreign
Adilabad,01-08-2017,August,2017,0,foreign
Adilabad,01-09-2017,September,2017,3,foreign
Adilabad,01-10-2017,October,2017,0,foreign
Adilabad,01-11-2017,November,2017,0,foreign
Adilabad,01-12-2017,December,2017,0,foreign
Bhadradri Kothagudem ,01-01-2017,January,2017,0,foreign
Bhadradri Kothagudem ,01-02-2017,February,2017,0,foreign
Bhadradri Kothagudem ,01-03-2017,March,2017,0,foreign
Bhadradri Kothagudem ,01-04-2017,April,2017,0,foreign
Bhadradri Kothagudem ,01-05-2017,May,2017,0,foreign
Bhadradri Kothagudem ,01-06-2017,June,2017,0,foreign
Bhadradri Kothagudem ,01-07-2017,July,2017,0,foreign
Bhadradri Kothagudem ,01-08-2017,August,2017,0,foreign
Bhadradri Kothagudem ,01-09-2017,September,2017,0,foreign
Bhadradri Kothagudem ,01-10-2017,October,2017,0,foreign
Bhadradri Kothagudem ,01-11-2017,November,2017,0,foreign
Bhadradri Kothagudem ,01-12-2017,December,2017,0,foreign
Hyderabad,01-01-2017,January,2017,19286,foreign
Hyderabad,01-02-2017,February,2017,18097,foreign
Hyderabad,01-03-2017,March,2017,13875,foreign
Hyderabad,01-04-2017,April,2017,12996,foreign
Hyderabad,01-05-2017,May,2017,12983,foreign
Hyderabad,01-06-2017,June,2017,12486,foreign
Hyderabad,01-07-2017,July,2017,18144,foreign
Hyderabad,01-08-2017,August,2017,16985,foreign
Hyderabad,01-09-2017,September,2017,27856,foreign
Hyderabad,01-10-2017,October,2017,26368,foreign
Hyderabad,01-11-2017,November,2017,29170,foreign
Hyderabad,01-12-2017,December,2017,38933,foreign
Jagtial ,01-01-2017,January,2017,0,foreign
Jagtial ,01-02-2017,February,2017,0,foreign
Jagtial ,01-03-2017,March,2017,0,foreign
Jagtial ,01-04-2017,April,2017,0,foreign
Jagtial ,01-05-2017,May,2017,0,foreign
Jagtial ,01-06-2017,June,2017,0,foreign
Jagtial ,01-07-2017,July,2017,0,foreign
Jagtial ,01-08-2017,August,2017,0,foreign
Jagtial ,01-09-2017,September,2017,0,foreign
Jagtial ,01-10-2017,October,2017,0,foreign
Jagtial ,01-11-2017,November,2017,0,foreign
Jagtial ,01-12-2017,December,2017,0,foreign
Jangaon ,01-01-2017,January,2017,0,foreign
Jangaon ,01-02-2017,February,2017,0,foreign
Jangaon ,01-03-2017,March,2017,0,foreign
Jangaon ,01-04-2017,April,2017,0,foreign
Jangaon ,01-05-2017,May,2017,0,foreign
Jangaon ,01-06-2017,June,2017,0,foreign
Jangaon ,01-07-2017,July,2017,0,foreign
Jangaon ,01-08-2017,August,2017,0,foreign
Jangaon ,01-09-2017,September,2017,0,foreign
Jangaon ,01-10-2017,October,2017,0,foreign
Jangaon ,01-11-2017,November,2017,0,foreign
Jangaon ,01-12-2017,December,2017,0,foreign
Jayashankar Bhoopalpally,01-01-2017,January,2017,85,foreign
Jayashankar Bhoopalpally,01-02-2017,February,2017,38,foreign
Jayashankar Bhoopalpally,01-03-2017,March,2017,35,foreign
Jayashankar Bhoopalpally,01-04-2017,April,2017,36,foreign
Jayashankar Bhoopalpally,01-05-2017,May,2017,40,foreign
Jayashankar Bhoopalpally,01-06-2017,June,2017,35,foreign
Jayashankar Bhoopalpally,01-07-2017,July,2017,42,foreign
Jayashankar Bhoopalpally,01-08-2017,August,2017,45,foreign
Jayashankar Bhoopalpally,01-09-2017,September,2017,56,foreign
Jayashankar Bhoopalpally,01-10-2017,October,2017,55,foreign
Jayashankar Bhoopalpally,01-11-2017,November,2017,58,foreign
Jayashankar Bhoopalpally,01-12-2017,December,2017,57,foreign
Jogulamba Gadwal ,01-01-2017,January,2017,20,foreign
Jogulamba Gadwal ,01-02-2017,February,2017,16,foreign
Jogulamba Gadwal ,01-03-2017,March,2017,32,foreign
Jogulamba Gadwal ,01-04-2017,April,2017,29,foreign
Jogulamba Gadwal ,01-05-2017,May,2017,31,foreign
Jogulamba Gadwal ,01-06-2017,June,2017,32,foreign
Jogulamba Gadwal ,01-07-2017,July,2017,34,foreign
Jogulamba Gadwal ,01-08-2017,August,2017,25,foreign
Jogulamba Gadwal ,01-09-2017,September,2017,42,foreign
Jogulamba Gadwal ,01-10-2017,October,2017,13,foreign
Jogulamba Gadwal ,01-11-2017,November,2017,21,foreign
Jogulamba Gadwal ,01-12-2017,December,2017,10,foreign
Kamareddy ,01-01-2017,January,2017,0,foreign
Kamareddy ,01-02-2017,February,2017,0,foreign
Kamareddy ,01-03-2017,March,2017,0,foreign
Kamareddy ,01-04-2017,April,2017,0,foreign
Kamareddy ,01-05-2017,May,2017,0,foreign
Kamareddy ,01-06-2017,June,2017,0,foreign
Kamareddy ,01-07-2017,July,2017,0,foreign
Kamareddy ,01-08-2017,August,2017,0,foreign
Kamareddy ,01-09-2017,September,2017,0,foreign
Kamareddy ,01-10-2017,October,2017,0,foreign
Kamareddy ,01-11-2017,November,2017,0,foreign
Kamareddy ,01-12-2017,December,2017,0,foreign
Karimnagar ,01-01-2017,January,2017,0,foreign
Karimnagar ,01-02-2017,February,2017,0,foreign
Karimnagar ,01-03-2017,March,2017,0,foreign
Karimnagar ,01-04-2017,April,2017,0,foreign
Karimnagar ,01-05-2017,May,2017,0,foreign
Karimnagar ,01-06-2017,June,2017,0,foreign
Karimnagar ,01-07-2017,July,2017,0,foreign
Karimnagar ,01-08-2017,August,2017,0,foreign
Karimnagar ,01-09-2017,September,2017,0,foreign
Karimnagar ,01-10-2017,October,2017,0,foreign
Karimnagar ,01-11-2017,November,2017,0,foreign
Karimnagar ,01-12-2017,December,2017,0,foreign
Khammam,01-01-2017,January,2017,0,foreign
Khammam,01-02-2017,February,2017,0,foreign
Khammam,01-03-2017,March,2017,0,foreign
Khammam,01-04-2017,April,2017,0,foreign
Khammam,01-05-2017,May,2017,0,foreign
Khammam,01-06-2017,June,2017,0,foreign
Khammam,01-07-2017,July,2017,0,foreign
Khammam,01-08-2017,August,2017,0,foreign
Khammam,01-09-2017,September,2017,0,foreign
Khammam,01-10-2017,October,2017,0,foreign
Khammam,01-11-2017,November,2017,0,foreign
Khammam,01-12-2017,December,2017,0,foreign
Komaram Bheem Asifabad,01-01-2017,January,2017,0,foreign
Komaram Bheem Asifabad,01-02-2017,February,2017,0,foreign
Komaram Bheem Asifabad,01-03-2017,March,2017,0,foreign
Komaram Bheem Asifabad,01-04-2017,April,2017,0,foreign
Komaram Bheem Asifabad,01-05-2017,May,2017,0,foreign
Komaram Bheem Asifabad,01-06-2017,June,2017, ,foreign
Komaram Bheem Asifabad,01-07-2017,July,2017,0,foreign
Komaram Bheem Asifabad,01-08-2017,August,2017,0,foreign
Komaram Bheem Asifabad,01-09-2017,September,2017,0,foreign
Komaram Bheem Asifabad,01-10-2017,October,2017,0,foreign
Komaram Bheem Asifabad,01-11-2017,November,2017,0,foreign
Komaram Bheem Asifabad,01-12-2017,December,2017,0,foreign
Mahabubabad ,01-01-2017,January,2017,0,foreign
Mahabubabad ,01-02-2017,February,2017,0,foreign
Mahabubabad ,01-03-2017,March,2017,0,foreign
Mahabubabad ,01-04-2017,April,2017,0,foreign
Mahabubabad ,01-05-2017,May,2017,0,foreign
Mahabubabad ,01-06-2017,June,2017,0,foreign
Mahabubabad ,01-07-2017,July,2017,0,foreign
Mahabubabad ,01-08-2017,August,2017,0,foreign
Mahabubabad ,01-09-2017,September,2017,0,foreign
Mahabubabad ,01-10-2017,October,2017,0,foreign
Mahabubabad ,01-11-2017,November,2017,0,foreign
Mahabubabad ,01-12-2017,December,2017,0,foreign
Mahbubnagar,01-01-2017,January,2017,42,foreign
Mahbubnagar,01-02-2017,February,2017,39,foreign
Mahbubnagar,01-03-2017,March,2017,38,foreign
Mahbubnagar,01-04-2017,April,2017,39,foreign
Mahbubnagar,01-05-2017,May,2017,41,foreign
